id,gender,birthdate,city,country,registration_date
1,F,1966-10-21,Lyon,FR,2023-08-26
2,F,1974-05-24,Paris,FR,2022-03-31
3,M,1977-12-17,Brussels,BE,2022-01-17
4,F,1999-10-06,London,UK,2023-08-10
5,M,1964-08-08,London,UK,2023-11-04
6,M,1983-12-09,Lyon,FR,2022-07-13
7,M,1985-02-12,Madrid,ES,2022-02-02
8,M,2005-07-01,Brussels,BE,2022-10-02
9,F,1952-08-27,Rome,IT,2022-11-07
10,M,1995-09-10,Brussels,BE,2022-02-11
11,F,2005-09-23,Rome,IT,2022-09-01
12,M,2005-11-19,Paris,FR,2023-07-01
13,F,1951-05-04,Madrid,ES,2022-03-03
14,M,1962-01-18,Lyon,FR,2023-06-10
15,M,1971-09-27,Brussels,BE,2022-07-18
16,M,1985-03-20,Lisbon,PT,2022-07-31
17,M,1990-11-02,Lyon,FR,2022-03-26
18,M,2003-05-18,London,UK,2023-05-03
19,F,1997-11-25,Lyon,FR,2022-05-18
20,F,1953-08-08,Berlin,DE,2022-02-21
21,F,2001-09-28,Lisbon,PT,2022-09-17
22,M,1999-06-16,Brussels,BE,2022-12-07
23,F,1987-09-17,Brussels,BE,2022-07-11
24,F,1995-02-12,Paris,FR,2022-05-28
25,F,2002-07-06,Paris,FR,2022-06-04
26,F,2002-03-12,Paris,FR,2023-01-11
27,F,1979-05-18,Madrid,ES,2023-08-07
28,F,1960-11-27,London,UK,2023-10-22
29,M,1968-05-13,Lyon,FR,2023-05-06
30,F,1961-03-23,Lisbon,PT,2022-02-28
31,M,1976-02-09,Lyon,FR,2023-05-06
32,F,2000-12-20,Rome,IT,2022-03-02
33,F,2003-05-27,Berlin,DE,2022-08-20
34,M,1963-07-20,Lyon,FR,2022-05-18
35,F,1953-03-07,Lisbon,PT,2022-06-18
36,F,1969-08-18,Berlin,DE,2022-11-18
37,F,1988-09-28,Rome,IT,2023-11-10
38,M,1992-04-03,Rome,IT,2022-11-05
39,M,1991-03-11,Rome,IT,2022-06-27
40,F,2004-07-13,London,UK,2022-07-23
41,F,1971-02-19,Madrid,ES,2022-11-19
42,F,2005-05-07,Berlin,DE,2022-08-28
43,M,1987-08-18,London,UK,2023-04-10
44,F,1976-11-26,Brussels,BE,2023-05-23
45,M,1991-10-02,Berlin,DE,2023-01-09
46,F,1999-01-03,Rome,IT,2023-06-13
47,M,1953-12-27,Berlin,DE,2022-09-15
48,F,1976-10-08,Berlin,DE,2023-12-27
49,F,1980-08-08,Madrid,ES,2023-03-11
50,F,1999-02-16,Madrid,ES,2022-05-07
51,M,1968-09-03,Lyon,FR,2023-03-15
52,M,1988-09-10,London,UK,2023-07-23
53,F,1973-04-05,Madrid,ES,2022-05-15
54,M,2002-03-02,Berlin,DE,2023-06-01
55,F,1993-01-16,Madrid,ES,2022-12-08
56,F,1999-04-04,Rome,IT,2022-06-04
57,M,1987-03-10,Rome,IT,2022-11-16
58,F,1955-06-12,London,UK,2022-09-25
59,F,1983-10-27,London,UK,2022-09-16
60,M,1954-09-01,Rome,IT,2022-11-30
61,M,1962-09-15,Madrid,ES,2022-02-13
62,M,1996-02-15,Brussels,BE,2023-09-15
63,M,1953-05-28,Lisbon,PT,2022-03-07
64,F,1962-06-25,London,UK,2023-03-30
65,M,1965-12-19,Paris,FR,2022-07-05
66,F,1981-06-17,Berlin,DE,2022-01-12
67,F,1980-09-17,Madrid,ES,2022-12-10
68,M,1988-09-09,Berlin,DE,2022-03-07
69,F,1955-02-20,Lyon,FR,2022-04-02
70,F,2000-08-28,Lisbon,PT,2023-01-01
71,F,2001-10-25,Madrid,ES,2022-06-13
72,F,2003-06-24,Lyon,FR,2022-02-10
73,M,1956-04-04,Rome,IT,2022-11-12
74,M,1973-07-11,Lisbon,PT,2022-04-18
75,F,1963-01-17,London,UK,2022-09-04
76,F,2000-11-18,Brussels,BE,2023-09-10
77,M,1978-10-18,Lisbon,PT,2022-06-06
78,F,2003-08-18,Lyon,FR,2023-01-23
79,F,1953-10-17,London,UK,2022-07-01
80,F,1969-02-07,Lisbon,PT,2023-11-12
81,M,2004-05-25,Madrid,ES,2023-02-18
82,M,1988-05-20,Paris,FR,2023-10-04
83,M,1964-08-16,Paris,FR,2023-01-30
84,M,1961-03-11,Rome,IT,2022-12-05
85,M,1996-04-04,Brussels,BE,2022-12-30
86,F,2001-11-08,London,UK,2023-03-13
87,M,1954-12-25,Berlin,DE,2022-09-02
88,M,1956-01-24,Lisbon,PT,2022-04-23
89,F,1993-09-24,Madrid,ES,2023-06-12
90,M,1977-11-22,Lyon,FR,2022-04-18
91,F,1969-06-27,Lisbon,PT,2023-05-09
92,F,1991-08-12,Lisbon,PT,2023-11-05
93,F,1960-06-18,Paris,FR,2022-01-14
94,M,1958-12-06,Brussels,BE,2023-06-21
95,F,1972-07-01,Lyon,FR,2022-10-22
96,F,1978-04-25,Rome,IT,2023-08-31
97,M,1964-09-24,London,UK,2022-01-10
98,M,1997-08-03,Berlin,DE,2022-12-20
99,F,1980-03-03,Rome,IT,2022-11-30
100,M,1977-08-13,Lyon,FR,2023-02-10
101,F,1993-11-07,Lyon,FR,2023-04-21
102,M,2000-07-28,Lisbon,PT,2023-12-03
103,M,1999-11-06,Berlin,DE,2023-12-21
104,M,1996-05-04,Rome,IT,2022-07-26
105,M,1970-09-17,Paris,FR,2023-03-08
106,M,1975-07-10,Rome,IT,2022-01-16
107,M,1982-07-07,Berlin,DE,2023-10-15
108,M,1982-05-12,Berlin,DE,2022-07-03
109,F,1973-02-28,Berlin,DE,2023-03-05
110,F,1996-05-21,Madrid,ES,2023-05-09
111,M,1995-02-16,Lyon,FR,2023-02-20
112,M,1976-01-11,Lisbon,PT,2022-02-28
113,F,1992-10-21,Paris,FR,2022-08-21
114,M,1974-07-12,Lyon,FR,2022-08-24
115,F,2002-03-24,Lisbon,PT,2023-08-04
116,F,1957-04-14,Rome,IT,2023-08-17
117,M,1986-10-25,Madrid,ES,2022-08-04
118,M,1953-06-13,London,UK,2022-07-29
119,F,1965-09-11,Lyon,FR,2022-02-09
120,F,1992-01-01,Lisbon,PT,2022-05-22
121,M,1962-07-02,Madrid,ES,2022-06-18
122,F,1950-10-03,Berlin,DE,2022-06-30
123,F,1984-11-06,Brussels,BE,2023-04-07
124,M,1979-06-27,Paris,FR,2022-09-27
125,F,1972-04-17,Paris,FR,2023-09-25
126,M,1956-08-01,Lyon,FR,2022-09-27
127,F,1998-03-01,Madrid,ES,2022-02-20
128,F,2000-12-18,Lyon,FR,2023-08-05
129,M,1969-05-08,Brussels,BE,2023-10-07
130,M,1976-04-10,Berlin,DE,2022-09-30
131,M,1984-11-17,Berlin,DE,2022-12-19
132,F,1962-06-12,Lisbon,PT,2023-01-27
133,F,1956-04-22,Paris,FR,2022-08-07
134,M,1957-03-07,Brussels,BE,2022-05-28
135,F,2002-03-02,Brussels,BE,2023-02-28
136,F,1951-05-07,Berlin,DE,2022-04-20
137,F,1951-06-24,Berlin,DE,2022-04-02
138,F,1954-12-22,London,UK,2023-09-12
139,M,1977-10-06,Berlin,DE,2023-06-10
140,F,1984-12-14,Lyon,FR,2023-10-10
141,F,1991-09-18,Paris,FR,2022-04-30
142,F,1963-09-09,Lisbon,PT,2023-08-09
143,F,1993-02-24,Madrid,ES,2022-06-09
144,F,1964-07-27,Paris,FR,2022-09-16
145,F,1965-07-13,Paris,FR,2022-05-19
146,M,1957-01-11,Lyon,FR,2023-02-05
147,F,1954-06-12,Brussels,BE,2023-12-21
148,F,1989-05-12,Berlin,DE,2023-09-27
149,F,1998-06-04,London,UK,2022-07-23
150,M,1959-08-06,Brussels,BE,2022-01-22
151,F,1986-06-12,Rome,IT,2022-09-21
152,F,2005-05-06,Lyon,FR,2023-11-25
153,M,1962-10-04,Rome,IT,2022-01-16
154,M,1991-10-02,Rome,IT,2022-08-15
155,F,1986-03-05,Berlin,DE,2022-02-28
156,F,1992-03-14,London,UK,2023-05-22
157,M,1954-05-08,Berlin,DE,2023-11-12
158,M,1987-09-02,Lyon,FR,2022-11-22
159,M,1986-08-01,Lyon,FR,2023-05-29
160,M,1974-01-03,Brussels,BE,2023-10-27
161,F,1990-02-17,Paris,FR,2023-04-08
162,F,1977-04-07,London,UK,2023-06-22
163,F,1974-12-01,Paris,FR,2023-09-18
164,M,1988-12-14,Brussels,BE,2023-02-02
165,M,1975-04-10,Berlin,DE,2022-03-31
166,F,1969-10-05,Berlin,DE,2022-08-09
167,F,1954-11-03,Madrid,ES,2023-09-12
168,M,1978-11-19,Lisbon,PT,2022-05-22
169,M,1993-10-03,Lyon,FR,2023-10-18
170,M,1986-03-08,London,UK,2022-01-13
171,M,2000-07-08,Lisbon,PT,2023-01-04
172,M,2002-08-11,Berlin,DE,2023-08-30
173,F,1988-07-24,Lisbon,PT,2023-01-13
174,F,1967-04-12,Madrid,ES,2022-02-28
175,F,2002-03-23,Madrid,ES,2022-04-01
176,M,1954-09-24,London,UK,2022-07-28
177,F,1966-05-20,Berlin,DE,2023-10-22
178,M,1952-06-04,Madrid,ES,2022-08-24
179,M,1979-02-13,Lisbon,PT,2022-08-07
180,F,1986-07-03,Lyon,FR,2022-10-03
181,M,1951-06-17,Lyon,FR,2023-07-15
182,F,1996-05-04,Lyon,FR,2022-08-04
183,M,1982-03-04,Rome,IT,2023-03-31
184,F,1986-06-14,Berlin,DE,2023-11-28
185,F,1972-03-16,Rome,IT,2023-07-18
186,M,1961-05-08,Rome,IT,2022-12-18
187,M,1973-10-11,Brussels,BE,2022-07-13
188,F,1982-05-22,Paris,FR,2022-03-07
189,M,1974-12-13,Berlin,DE,2022-12-24
190,F,1995-06-27,Madrid,ES,2022-01-03
191,F,1968-08-14,Berlin,DE,2022-05-31
192,F,1986-04-16,Brussels,BE,2023-07-13
193,F,1968-11-09,Rome,IT,2022-03-10
194,M,1986-08-27,Lisbon,PT,2023-01-18
195,F,1971-03-20,Rome,IT,2023-03-18
196,F,1954-01-08,Madrid,ES,2023-07-10
197,F,2004-07-23,Madrid,ES,2023-02-04
198,F,1999-11-16,Madrid,ES,2022-01-03
199,M,1964-02-04,Lisbon,PT,2023-06-10
200,F,1954-03-13,London,UK,2022-12-11
201,F,1997-12-24,Lisbon,PT,2023-10-23
202,F,1977-05-28,Paris,FR,2023-02-11
203,M,1997-03-04,Madrid,ES,2022-07-12
204,F,1974-07-09,Lisbon,PT,2023-03-23
205,M,1974-01-26,Lisbon,PT,2023-03-12
206,F,1967-02-25,Brussels,BE,2022-09-03
207,M,1962-10-25,Paris,FR,2023-08-05
208,F,2003-09-13,Madrid,ES,2022-07-12
209,M,2001-09-19,Madrid,ES,2022-10-15
210,M,1991-01-22,Lisbon,PT,2022-06-13
211,F,1955-11-15,Brussels,BE,2023-12-17
212,M,1996-04-17,Brussels,BE,2023-03-01
213,F,1978-04-18,Lisbon,PT,2023-10-12
214,F,1955-10-19,Lisbon,PT,2023-09-18
215,M,1955-10-16,Rome,IT,2023-02-10
216,F,1994-10-02,Rome,IT,2022-02-26
217,F,1986-10-25,Lyon,FR,2023-10-14
218,F,1999-01-19,Lisbon,PT,2023-11-05
219,F,1953-11-02,London,UK,2023-02-16
220,M,1999-11-05,Paris,FR,2022-03-24
221,F,1987-05-05,Brussels,BE,2022-03-19
222,F,1998-03-27,Berlin,DE,2022-03-30
223,M,1982-08-25,Brussels,BE,2023-08-23
224,F,1964-09-16,London,UK,2023-07-17
225,M,1974-03-22,Madrid,ES,2022-12-04
226,M,1950-08-10,London,UK,2022-12-23
227,M,1952-11-12,Brussels,BE,2022-03-21
228,M,1992-04-24,Madrid,ES,2022-08-14
229,F,2003-11-07,Lyon,FR,2023-01-16
230,M,1984-04-27,Lyon,FR,2022-11-16
231,F,1984-06-10,Madrid,ES,2023-12-16
232,F,1997-12-02,Rome,IT,2023-07-26
233,M,2001-07-11,Lisbon,PT,2023-06-15
234,F,1982-01-14,Rome,IT,2023-10-26
235,M,1964-03-13,Lyon,FR,2023-05-21
236,M,1994-11-03,Lisbon,PT,2023-03-21
237,M,1995-05-10,Madrid,ES,2022-08-05
238,F,1977-08-01,Lisbon,PT,2023-02-05
239,F,2003-10-22,Madrid,ES,2023-11-02
240,M,1975-06-23,Berlin,DE,2022-12-20
241,F,1970-10-07,Lyon,FR,2023-10-28
242,M,2005-01-28,London,UK,2023-09-27
243,F,2003-05-13,Lisbon,PT,2022-03-28
244,F,1989-01-14,Madrid,ES,2023-04-10
245,M,1979-06-20,Lisbon,PT,2022-08-03
246,F,2003-11-20,London,UK,2023-07-30
247,F,2004-04-08,Paris,FR,2023-09-25
248,M,1952-10-12,London,UK,2023-12-30
249,F,1985-02-28,Brussels,BE,2022-04-24
250,F,1968-03-23,Lyon,FR,2022-10-25
251,F,1982-04-26,Madrid,ES,2023-08-14
252,F,1998-01-09,Rome,IT,2023-04-01
253,M,1964-01-22,Brussels,BE,2022-02-17
254,M,1975-06-22,Berlin,DE,2023-07-16
255,F,1968-10-26,Lisbon,PT,2023-05-23
256,M,2003-01-13,Brussels,BE,2022-10-08
257,M,1981-08-11,Rome,IT,2022-03-16
258,M,1959-12-21,Lisbon,PT,2022-01-11
259,M,2003-07-06,Rome,IT,2022-08-01
260,F,1970-06-18,Berlin,DE,2023-06-20
261,M,1974-09-14,Lyon,FR,2023-10-06
262,M,1975-07-27,Madrid,ES,2022-07-20
263,M,1997-02-02,Berlin,DE,2023-03-24
264,M,1953-02-22,Rome,IT,2022-02-18
265,F,1967-07-09,Berlin,DE,2023-02-26
266,F,1996-11-19,Lisbon,PT,2023-06-01
267,M,1955-09-11,London,UK,2023-12-04
268,F,1956-07-26,Lyon,FR,2023-08-11
269,M,1995-06-14,Lisbon,PT,2022-08-02
270,M,1952-12-18,Paris,FR,2022-11-05
271,M,1962-03-28,Rome,IT,2023-02-28
272,M,1993-09-10,Brussels,BE,2023-06-23
273,M,1992-02-08,London,UK,2022-06-14
274,F,1996-07-08,Brussels,BE,2022-11-06
275,M,1964-09-09,Lisbon,PT,2022-11-24
276,M,1997-03-28,Lyon,FR,2023-10-30
277,M,1966-08-22,London,UK,2023-07-30
278,F,1968-07-03,Brussels,BE,2023-09-22
279,F,1980-05-06,Berlin,DE,2022-06-26
280,F,1960-08-23,Rome,IT,2023-07-05
281,F,1991-06-14,Rome,IT,2023-10-12
282,F,1987-06-06,London,UK,2023-08-20
283,F,2001-04-23,Rome,IT,2022-03-28
284,M,1990-10-20,Berlin,DE,2023-02-09
285,M,1971-04-21,Rome,IT,2022-05-29
286,F,2004-05-28,Lisbon,PT,2022-01-15
287,F,1999-06-09,Lisbon,PT,2023-08-15
288,F,1971-03-01,Paris,FR,2023-12-26
289,M,1992-10-15,Brussels,BE,2023-11-01
290,F,2001-05-26,Rome,IT,2022-11-27
291,M,1995-03-20,Madrid,ES,2023-07-13
292,M,1977-01-21,Rome,IT,2023-08-07
293,F,1968-06-28,Madrid,ES,2022-07-08
294,F,1950-11-15,London,UK,2022-07-01
295,M,1999-10-15,Rome,IT,2023-04-02
296,M,1958-01-05,Brussels,BE,2023-08-16
297,M,1993-06-15,Berlin,DE,2022-02-24
298,F,2005-01-05,Paris,FR,2022-06-25
299,M,2001-08-28,Brussels,BE,2023-08-31
300,F,1975-01-16,Lisbon,PT,2023-06-27
301,M,1957-06-01,London,UK,2022-12-22
302,M,2001-05-04,London,UK,2023-05-25
303,F,2002-01-23,Lisbon,PT,2023-10-04
304,F,1987-09-17,Rome,IT,2023-12-09
305,M,1968-08-02,Lyon,FR,2023-05-17
306,M,1988-03-15,London,UK,2023-05-06
307,F,1985-03-26,Rome,IT,2023-08-10
308,M,1957-09-02,Rome,IT,2023-05-14
309,M,1998-11-22,Lisbon,PT,2023-06-28
310,F,1976-03-07,Paris,FR,2023-05-15
311,F,1996-06-15,Paris,FR,2023-08-02
312,F,1958-10-20,Rome,IT,2023-03-07
313,M,1992-03-19,Berlin,DE,2023-01-11
314,F,1956-04-02,Berlin,DE,2022-12-03
315,F,1969-05-23,Lyon,FR,2023-11-08
316,M,1999-09-15,Rome,IT,2022-08-02
317,F,1956-08-28,Berlin,DE,2023-03-18
318,M,1950-08-23,Berlin,DE,2022-07-02
319,M,1974-12-09,Rome,IT,2023-05-06
320,F,2001-02-18,Brussels,BE,2022-02-03
321,F,1975-06-15,London,UK,2023-06-05
322,M,1954-11-25,Lyon,FR,2023-01-25
323,F,1955-04-12,Paris,FR,2023-03-11
324,M,1980-12-08,Brussels,BE,2022-02-28
325,M,1952-08-01,Madrid,ES,2022-05-26
326,M,1973-09-28,London,UK,2023-02-20
327,M,1966-01-05,Berlin,DE,2022-05-27
328,M,1959-07-01,Madrid,ES,2023-01-19
329,F,1964-05-04,London,UK,2023-02-27
330,F,1978-05-06,Lyon,FR,2022-03-01
331,M,1981-09-08,Paris,FR,2023-10-14
332,M,1951-02-11,Madrid,ES,2022-01-21
333,M,1978-01-02,Brussels,BE,2022-01-19
334,F,1986-01-20,Berlin,DE,2023-07-10
335,F,1975-08-08,Lisbon,PT,2023-12-12
336,F,1985-11-26,Lisbon,PT,2023-11-27
337,M,1980-10-19,Brussels,BE,2023-07-12
338,M,1966-03-11,Brussels,BE,2022-05-29
339,F,1981-11-26,Paris,FR,2023-06-12
340,F,1971-05-17,Rome,IT,2023-03-28
341,M,1996-01-17,Paris,FR,2023-02-28
342,M,1975-11-27,Brussels,BE,2023-09-08
343,F,1956-10-23,Madrid,ES,2022-11-29
344,F,1977-04-02,Paris,FR,2022-05-22
345,F,1979-10-26,Paris,FR,2023-11-16
346,M,1957-09-19,Lisbon,PT,2023-02-03
347,M,2002-07-25,Paris,FR,2023-08-07
348,M,2004-09-10,Paris,FR,2022-11-19
349,F,1974-07-07,Lyon,FR,2022-01-17
350,F,1966-06-01,Madrid,ES,2022-06-26
351,F,1963-11-11,Lyon,FR,2023-07-22
352,F,1972-03-16,Berlin,DE,2022-04-06
353,F,1979-08-04,Lisbon,PT,2022-02-09
354,F,1953-03-19,London,UK,2022-01-16
355,M,1997-06-07,Brussels,BE,2022-04-04
356,F,1990-07-12,Paris,FR,2022-11-13
357,F,1975-12-28,London,UK,2022-11-13
358,M,1982-07-06,Berlin,DE,2022-02-02
359,F,2004-01-14,Paris,FR,2023-08-20
360,M,1985-06-19,Berlin,DE,2023-10-12
361,F,1988-12-10,London,UK,2023-11-25
362,M,1963-05-20,Paris,FR,2023-07-27
363,M,2000-10-11,Lyon,FR,2023-06-18
364,F,1988-10-22,Madrid,ES,2023-03-18
365,F,1984-02-10,Rome,IT,2023-05-30
366,F,1980-04-14,Lyon,FR,2022-05-07
367,M,1999-03-12,London,UK,2022-05-03
368,M,1966-05-15,Paris,FR,2023-09-02
369,F,1967-01-16,Lyon,FR,2022-02-12
370,F,1955-01-06,Lisbon,PT,2022-09-27
371,F,1962-05-18,Berlin,DE,2022-12-28
372,M,1986-07-28,Brussels,BE,2022-05-30
373,M,1972-08-17,Lisbon,PT,2022-04-07
374,M,1996-09-07,Lyon,FR,2023-04-30
375,M,1993-12-16,Lyon,FR,2023-03-27
376,F,1959-08-10,Rome,IT,2022-02-02
377,F,1988-10-11,Lyon,FR,2022-07-25
378,F,1987-05-10,Lyon,FR,2022-10-07
379,F,1956-02-03,Berlin,DE,2022-03-29
380,M,1976-05-16,Brussels,BE,2023-04-28
381,F,1951-01-03,Rome,IT,2023-04-24
382,F,1990-07-18,Lisbon,PT,2022-09-07
383,M,1993-11-24,Lyon,FR,2023-07-31
384,F,1958-06-26,London,UK,2023-11-24
385,F,1994-10-17,Lisbon,PT,2023-09-30
386,M,1978-05-03,Lisbon,PT,2022-07-16
387,M,1956-10-04,Madrid,ES,2022-10-10
388,M,1987-07-22,Brussels,BE,2023-10-05
389,M,1997-12-12,London,UK,2023-05-15
390,M,1954-09-07,Rome,IT,2023-01-26
391,F,1983-02-02,Madrid,ES,2023-12-21
392,M,1976-12-17,Rome,IT,2022-06-16
393,F,1982-01-08,Brussels,BE,2023-06-28
394,M,1956-07-12,London,UK,2023-07-24
395,M,1999-08-09,Madrid,ES,2023-08-15
396,F,1978-02-12,Berlin,DE,2022-04-06
397,M,1983-06-04,Madrid,ES,2022-11-29
398,F,1972-05-24,Lyon,FR,2023-01-10
399,M,1962-04-03,London,UK,2022-03-05
400,F,1956-11-24,Paris,FR,2022-04-22
401,F,1991-09-28,Brussels,BE,2023-05-31
402,M,1998-02-22,London,UK,2023-02-28
403,F,1961-01-17,Paris,FR,2022-02-04
404,M,1983-04-19,London,UK,2022-05-11
405,F,1969-10-12,London,UK,2023-04-14
406,F,1989-07-05,Brussels,BE,2022-12-09
407,F,1969-03-22,London,UK,2023-02-24
408,F,1978-09-20,Lyon,FR,2023-05-29
409,F,1986-04-27,Paris,FR,2022-06-27
410,M,1996-05-21,Lyon,FR,2022-10-03
411,M,1993-04-04,Berlin,DE,2022-01-17
412,F,1961-10-02,London,UK,2022-03-11
413,F,1972-09-17,Lisbon,PT,2023-11-07
414,F,1952-02-16,Lisbon,PT,2022-09-01
415,F,1955-10-01,Brussels,BE,2022-01-31
416,F,1974-11-26,Rome,IT,2023-01-02
417,F,2001-06-05,Brussels,BE,2023-01-07
418,M,1988-12-21,Brussels,BE,2022-04-04
419,F,1963-11-19,Rome,IT,2022-04-10
420,M,1952-11-23,Madrid,ES,2022-09-22
421,M,1973-10-06,Lisbon,PT,2023-01-16
422,M,1963-10-17,Paris,FR,2023-02-02
423,F,1994-07-27,Paris,FR,2023-08-14
424,M,1958-01-15,Lyon,FR,2023-06-01
425,M,1962-10-25,Berlin,DE,2023-07-22
426,F,1954-02-02,Madrid,ES,2022-01-24
427,M,1987-01-10,London,UK,2023-01-09
428,M,1952-02-18,London,UK,2023-01-26
429,M,1958-08-20,Madrid,ES,2023-01-29
430,M,1977-10-20,Brussels,BE,2022-01-19
431,M,1976-06-20,Rome,IT,2023-11-20
432,M,1970-06-28,Berlin,DE,2023-06-18
433,F,1996-03-26,Lyon,FR,2023-09-25
434,M,1971-10-04,Rome,IT,2023-10-05
435,M,2004-02-26,Berlin,DE,2023-07-02
436,M,1998-06-09,Lyon,FR,2023-05-24
437,M,1977-04-28,Rome,IT,2022-05-29
438,M,2005-10-27,Paris,FR,2022-05-23
439,M,1983-11-15,Madrid,ES,2023-08-30
440,F,2004-02-16,Lisbon,PT,2022-07-13
441,M,1975-07-06,Lisbon,PT,2022-11-17
442,F,2001-02-11,Brussels,BE,2023-09-30
443,M,1985-04-01,Rome,IT,2022-10-10
444,F,1991-06-22,Lyon,FR,2023-09-29
445,F,1954-10-15,Paris,FR,2022-06-07
446,F,1974-11-11,Brussels,BE,2023-05-01
447,F,1970-10-13,Paris,FR,2023-04-28
448,M,1993-04-08,Madrid,ES,2022-10-05
449,F,1978-06-06,Brussels,BE,2022-01-02
450,F,1981-09-14,Madrid,ES,2022-09-26
451,M,1962-12-06,Madrid,ES,2022-01-04
452,F,1953-01-27,Paris,FR,2023-03-01
453,M,1981-05-23,Berlin,DE,2022-01-19
454,M,1967-02-08,Paris,FR,2022-08-26
455,F,2004-06-11,Paris,FR,2022-07-14
456,F,2001-06-06,Rome,IT,2023-06-30
457,M,1992-06-09,Rome,IT,2023-03-24
458,F,1953-03-22,Brussels,BE,2023-09-11
459,F,1994-10-20,London,UK,2023-08-23
460,M,1951-09-07,Paris,FR,2022-10-11
461,M,1980-11-02,Lisbon,PT,2022-09-08
462,M,2003-03-28,Rome,IT,2023-03-20
463,F,1999-01-14,Paris,FR,2023-08-04
464,F,1988-06-05,Berlin,DE,2022-07-29
465,F,1956-02-16,Madrid,ES,2023-11-11
466,F,1981-03-25,Madrid,ES,2023-10-06
467,F,1959-04-16,Berlin,DE,2023-10-06
468,M,1964-03-10,Paris,FR,2022-12-10
469,F,1978-01-19,London,UK,2022-06-10
470,M,1988-09-21,London,UK,2023-08-18
471,F,1995-08-07,Lisbon,PT,2022-10-07
472,M,2000-03-25,London,UK,2023-06-02
473,M,1988-11-13,Brussels,BE,2023-10-06
474,F,1960-10-28,Brussels,BE,2023-08-05
475,M,1950-08-15,Berlin,DE,2023-09-16
476,F,2004-09-07,Berlin,DE,2022-05-20
477,M,1959-10-18,Madrid,ES,2023-03-05
478,M,1996-12-08,Lisbon,PT,2022-04-05
479,M,1999-01-11,Lyon,FR,2022-03-12
480,F,1984-12-10,Lyon,FR,2023-11-30
481,M,1956-07-09,Brussels,BE,2023-11-26
482,M,1994-02-11,Rome,IT,2023-08-05
483,F,2005-05-03,London,UK,2022-10-18
484,F,1975-10-15,Rome,IT,2023-11-01
485,F,1956-04-28,Paris,FR,2023-05-13
486,F,1978-02-07,Lisbon,PT,2022-04-29
487,F,1999-06-26,Berlin,DE,2023-06-03
488,F,1997-01-11,Rome,IT,2022-06-21
489,M,1992-10-27,Berlin,DE,2023-02-14
490,M,1962-03-07,Lyon,FR,2022-05-25
491,F,2001-07-20,Lyon,FR,2023-04-13
492,F,1955-09-15,London,UK,2023-02-11
493,F,1995-01-07,London,UK,2022-03-01
494,M,2000-04-12,Berlin,DE,2023-07-09
495,F,1971-06-04,Berlin,DE,2022-07-27
496,M,1958-03-14,Brussels,BE,2023-02-08
497,M,1964-05-10,London,UK,2023-10-18
498,M,1955-07-14,Rome,IT,2022-10-24
499,F,1984-01-23,London,UK,2022-05-01
